Epoch Date Close Approach,Relative Velocity km per hr,Miles per hour,Miss Dist.(Astronomical),Miss Dist.(lunar),Miss Dist.(kilometers),Miss Dist.(miles),Jupiter Tisserand Invariant,Epoch Osculation,Semi Major Axis,Asc Node Longitude,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,Hazardous,Day of Year,Miss Distance to Semi Major Axis Ratio,Time Until Approach (days),Eccentricity,Orbital Period (years),Average Orbital Velocity (m/s),Heliocentric Distance (m),Escape Velocity (m/s),Specific Orbital Energy (J/kg),Specific Angular Momentum,Velocity at Perihelion (m/s),Velocity at Aphelion (m/s),Synodic Period,next_approach_date,time_until_approach_days,assumed_mass_kg,velocity_m_s,energy_loss_gj,Custom Anomaly
788947000.0,22017.0038,13680.50994,0.41948253,163.1787109,62753692.0,38993336.0,5.1025,2458000.5,1.407011303,314.3739134,57.25746988,2.005763673,2457976.422,264.8375333,23.657035365615663,1.0,1,0.2981372851131957,-11226,0.4255490831689505,0.26559478861463287,157792.20019177123,120915536376.79994,46859.12749239828,11351300306.005587,4783572872122474.0,39561.27570915112,15941.93519567112,5.602629746781509e-05,1199145600.0,-6478,130899693899.57469,3000,498.3351346756808,False
1202460000.0,65210.34609,40519.17311,0.265280586,104.2614517,57298148.0,35603420.0,5.1025,2458000.5,1.107775954,136.7172417,192.4201212,1.497352293,2457794.969,173.741112,33.86326254336387,0.0,1,0.23947133447166336,-6440,0.3516743052539665,0.1855457754294526,177831.3633559363,107442662404.00002,49710.3556708649,14576437166.05358,4390810187769911.5,40866.5430428355,19601.489654075278,3.914023638163431e-05,788918400.0,-11226,130899693899.57469,1000,55.37057051952009,False
789552000.0,27326.56018,16979.6618,0.050956016,19.82188988,7622911.5,4736657.5,4.557,2458000.5,1.458823814,259.4759789,248.4150381,1.966856672,2458120.468,189.0511122,22.407965764351164,1.0,189,0.03492952028270084,-11219,0.3482482621441496,0.28039962990194794,154964.74391011024,142238327017.59998,43204.296059874185,11073730328.548395,5045607990456758.0,35472.91434208472,17147.83116612212,5.914932727669595e-05,805161600.0,-11038,130899693899.57469,1000,55.37057051952009,False
790157000.0,40225.94819,24994.83986,0.265280586,104.2614517,39879014.0,26522368.0,5.093,2458000.5,1.223551141,57.17326613,192.4201212,1.527904212,2457902.337,68.74100662,29.172490629013847,0.0,196,0.216812013091,-11212,0.24874568851388928,0.21538048934809048,169208.92322493723,137512031272.00003,43940.490701144365,13350446487.942675,4774496759816936.0,34720.57474282332,20888.14537078713,4.543376557921991e-05,805766400.0,-11031,130899693899.57469,3000,498.3351346756808,False
790157000.0,35426.99179,28959.41622,0.407832171,158.6467133,61010824.0,24764642.0,5.154,2458000.5,1.225614737,84.62930679,158.2635961,1.590004662,2457814.455,189.0511122,29.09884405080311,1.0,197,0.33275723495155723,-11212,0.2973119643550762,0.2159255981512494,169066.41271547985,128839231875.19998,45395.33106782698,13261357912.861673,4710494798187270.0,36561.02826466776,19803.253063521628,4.554875438648308e-05,1216080000.0,-6282,130899693899.57469,3000,498.3351346756808,False
1202460000.0,38911.83825,24178.30305,0.392784784,104.2614517,39879014.0,36511628.0,4.724,2458000.5,1.32353218,178.9719508,192.4201212,2.069264572,2457976.422,354.2373683,25.930144736640557,0.0,15,0.2967701049777271,-6440,0.563441073265026,0.24231200292149313,162692.32756146888,86438848284.80005,55421.817687494084,11698607785.791227,4235605443821464.5,49001.17861202784,13682.576407527575,5.111487475531624e-05,790128000.0,-11212,130899693899.57469,1000,55.37057051952009,False
1202460000.0,38911.82972,28959.41622,0.392783196,152.7926636,39879014.0,36511480.0,4.724,2458000.5,1.323532162,178.9719526,198.1459599,1.590004662,2458009.403,354.2373962,25.930145265614406,0.0,15,0.29676890919406307,-6440,0.20133435941392694,0.24231199797833866,162692.32866777436,158136125435.2,40975.07001673196,12394918722.233513,5021896404671865.0,31756.79428626006,21112.407426663005,5.1114873712575005e-05,790128000.0,-11212,130899693899.57469,3000,498.3351346756808,False
790762000.0,87918.78238,54629.31231,0.129179161,50.25069427,19324928.0,24764642.0,4.921,2458000.5,1.223551141,112.5629844,288.3746511,1.794044544,2457976.422,186.7769323,29.172490629013847,0.0,22,0.10557724697508168,-11205,0.46626036614516947,0.21538048934809048,169208.92322493723,97697437604.80002,52130.712965864936,12957024232.306652,4360812237608573.0,44635.89163155615,16248.099591510034,4.543376557921991e-05,790732800.0,-11205,130899693899.57469,20000,22148.22820780804,True
790762000.0,62545.62181,28959.41622,0.358282927,104.2614517,53598364.0,24764642.0,5.386,2458000.5,1.145550849,80.21113209,353.4223941,1.418397017,2457976.422,189.0511122,32.20217021288551,0.0,22,0.3127603871209736,-11205,0.23817901076864387,0.19511682801631197,174874.76312144208,130556620277.59998,45095.769474260436,14273777176.15242,4632457266500676.0,35482.36203304568,21831.42171623422,4.1159216656467686e-05,790732800.0,-11205,130899693899.57469,1000,55.37057051952009,False
790762000.0,46438.595,28855.13699,0.151805742,59.05243301,22709816.0,14111226.0,5.1025,2458000.5,0.876125367,173.8952461,192.4201212,1.590004662,2457900.77,189.0511122,48.14567902422286,1.0,22,0.17326942891724306,-11205,0.814814091554548,0.13050361807169478,199963.7154093592,24272012371.200005,104588.12055826116,14523406259.202911,2418183297686096.0,99628.46346252669,10166.213497674938,2.7529284610022158e-05,790732800.0,-11205,130899693899.57469,1000,55.37057051952009,False
